kolom_1,pdf_1,omschrijving_1,kolom_2,pdf_2,omschrijving_2,kolom_3,pdf_3,omschrijving_3,kolom_4,pdf_4,omschrijving_4,kolom_5,pdf_5,omschrijving_5,kolom_6,pdf_6,omschrijving_6,kolom_7,pdf_7,omschrijving_7,kolom_8,pdf_8,omschrijving_8,kolom_9,pdf_9,omschrijving_9,kolom_10,pdf_10,omschrijving_10,kolom_11,pdf_11,omschrijving_11,kolom_12,pdf_12,omschrijving_12,kolom_13,pdf_13,omschrijving_13,kolom_14,pdf_14,omschrijving_14,kolom_15,pdf_15,omschrijving_15
.,rol nummer,rol_601,.,rol nummer,rol_602,.,rol nummer,rol_603,.,rol nummer,rol_604,.,rol nummer,rol_605,.,rol nummer,rol_606,.,rol nummer,rol_607,.,rol nummer,rol_608,.,rol nummer,rol_609,.,rol nummer,rol_610,.,rol nummer,rol_611,.,rol nummer,rol_612,.,rol nummer,rol_613,.,rol nummer,rol_614,.,rol nummer,rol_615
.,begin nummer,DA1289745,.,begin nummer,DA1654315,.,begin nummer,DA1744120,.,begin nummer,DA1215987,.,begin nummer,DA1207057,.,begin nummer,DA1300815,.,begin nummer,DA1640468,.,begin nummer,DA1366777,.,begin nummer,DA1768447,.,begin nummer,DA1969381,.,begin nummer,DA1464526,.,begin nummer,DA1214604,.,begin nummer,DA1853384,.,begin nummer,DA1576045,.,begin nummer,DA1499654
.,eind nummer,DA1623147,.,eind nummer,DA1276050,.,eind nummer,DA1487681,.,eind nummer,DA1727690,.,eind nummer,DA1534188,.,eind nummer,DA1977451,.,eind nummer,DA1719177,.,eind nummer,DA1408982,.,eind nummer,DA1275999,.,eind nummer,DA1235091,.,eind nummer,DA1389372,.,eind nummer,DA1281576,.,eind nummer,DA1524381,.,eind nummer,DA1500048,.,eind nummer,DA1510149
.,rol nummer,rol_616,.,rol nummer,rol_617,.,rol nummer,rol_618,.,rol nummer,rol_619,.,rol nummer,rol_620,.,rol nummer,rol_621,.,rol nummer,rol_622,.,rol nummer,rol_623,.,rol nummer,rol_624,.,rol nummer,rol_625,.,rol nummer,rol_626,.,rol nummer,rol_627,.,rol nummer,rol_628,.,rol nummer,rol_629,.,rol nummer,rol_630
.,begin nummer,DA1255724,.,begin nummer,DA1351606,.,begin nummer,DA1879002,.,begin nummer,DA1937836,.,begin nummer,DA1510294,.,begin nummer,DA1451410,.,begin nummer,DA1688891,.,begin nummer,DA1293190,.,begin nummer,DA1786301,.,begin nummer,DA1228222,.,begin nummer,DA1348783,.,begin nummer,DA1302095,.,begin nummer,DA1401789,.,begin nummer,DA1709300,.,begin nummer,DA1251116
.,eind nummer,DA1221662,.,eind nummer,DA1320615,.,eind nummer,DA1843432,.,eind nummer,DA1407149,.,eind nummer,DA1430858,.,eind nummer,DA1282226,.,eind nummer,DA1274641,.,eind nummer,DA1263586,.,eind nummer,DA1412535,.,eind nummer,DA1593641,.,eind nummer,DA1894270,.,eind nummer,DA1434248,.,eind nummer,DA1333496,.,eind nummer,DA1316172,.,eind nummer,DA1247936
.,rol nummer,rol_631,.,rol nummer,rol_632,.,rol nummer,rol_633,.,rol nummer,rol_634,.,rol nummer,rol_635,.,rol nummer,rol_636,.,rol nummer,rol_637,.,rol nummer,rol_638,.,rol nummer,rol_639,.,rol nummer,rol_640,.,rol nummer,rol_641,.,rol nummer,rol_642,.,rol nummer,rol_643,.,rol nummer,rol_644,.,rol nummer,rol_645
.,begin nummer,DA1368157,.,begin nummer,DA1762532,.,begin nummer,DA1563421,.,begin nummer,DA1404198,.,begin nummer,DA1321311,.,begin nummer,DA1376615,.,begin nummer,DA1796489,.,begin nummer,DA1758707,.,begin nummer,DA1283429,.,begin nummer,DA1788335,.,begin nummer,DA1296026,.,begin nummer,DA1268804,.,begin nummer,DA1262241,.,begin nummer,DA1923611,.,begin nummer,DA1459912
.,eind nummer,DA1673654,.,eind nummer,DA1599528,.,eind nummer,DA1829808,.,eind nummer,DA1353663,.,eind nummer,DA1348790,.,eind nummer,DA1866209,.,eind nummer,DA1673381,.,eind nummer,DA1390027,.,eind nummer,DA1741250,.,eind nummer,DA1382013,.,eind nummer,DA1677522,.,eind nummer,DA1320699,.,eind nummer,DA1515548,.,eind nummer,DA1868112,.,eind nummer,DA1515459
.,rol nummer,rol_646,.,rol nummer,rol_647,.,rol nummer,rol_648,.,rol nummer,rol_649,.,rol nummer,rol_650,.,rol nummer,rol_651,.,rol nummer,rol_652,.,rol nummer,rol_653,.,rol nummer,rol_654,.,rol nummer,rol_655,.,rol nummer,rol_656,.,rol nummer,rol_657,.,rol nummer,rol_658,.,rol nummer,rol_659,.,rol nummer,rol_660
.,begin nummer,DA1612412,.,begin nummer,DA1717287,.,begin nummer,DA1933102,.,begin nummer,DA1379622,.,begin nummer,DA1678513,.,begin nummer,DA1362646,.,begin nummer,DA1384354,.,begin nummer,DA1658828,.,begin nummer,DA1672367,.,begin nummer,DA1374877,.,begin nummer,DA1603031,.,begin nummer,DA1485225,.,begin nummer,DA1459884,.,begin nummer,DA1734702,.,begin nummer,DA1319867
